TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,TS_5,G,WTD,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WTD_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20160907,-12.769271428571429,52.556293333333336,292.4060666666666,6.258146666666666,0.16934724999999998,263.29651358333325,135.6843547916667,578.3536173958333,33.76053858333333,15.890678291666667,54.758708333333324,101.09520833333336,21.52646875,0.0,19.11,19.092583333333334,19.05523958333333,19.223406249999996,19.60404166666666,1.0734981249999989,-0.8359797368421052,10.736623604166667,11.566545187500004,8.61545854166667,8.33715585833333,224.8415707083333,1.2113136458333331,0.8299354166666658,-21.77305208333334,130.2173125,0.5825764375000002,264.5630208333333,334.6555625000001,135.6843547916667,578.3536173958333,33.76053858333333,18.677145833333327,54.758708333333324,101.09520833333336,21.52645833333333,0.0,1.0734981249999989,-0.8314758333333333,1.2113125,133.51738067758058,1.1382150986968909,6.847691751014183,1.0
20160908,-0.8394714285714296,-8.740833095238099,140.50038095238094,-3.2498409523809526,0.6061183333333333,261.99897960416666,109.98806666666668,574.8526092916667,36.14520339583333,9.608402916666668,61.0481875,101.42979166666667,18.914874999999995,0.0,19.198770833333327,19.158625,19.231635416666666,19.535666666666675,19.792083333333327,0.5047479166666657,-0.8564554054054053,10.199894333333337,10.661264395833337,8.759472916666667,8.023385989583332,258.8985709583333,4.294080083333332,0.4613708333333346,-17.939249791666672,128.30268750000002,-3.2294795833333336,263.27595833333334,332.88168750000006,109.98806666666668,574.8526092916667,36.14520339583333,11.963416666666667,61.0481875,101.42979166666667,18.914874999999995,0.0,0.5047479166666657,-0.8469114583333334,4.294104166666666,126.48699427035864,0.5045595983532251,-1.9104243082753944,1.0
20160909,-0.3399687804878049,-2.842404878048781,130.62285853658534,-0.34954204878048817,0.3465297083333333,263.66343539583335,117.38074645833336,584.4993373333333,35.922211270833344,11.372507958333333,60.49224999999999,101.32437500000002,19.531604166666664,0.0,19.815114583333337,19.61421875,19.399062500000007,19.45572916666666,19.765250000000005,3.0991762499999984,-0.873734358974359,9.702545516458336,10.718406770833337,8.83207729166667,8.5797636,263.4341668541667,2.3612253541666663,1.0158412500000005,-13.903262499999995,116.72033749999996,-0.7670775833333332,265.0093125,326.2040625,117.38074645833336,584.4993373333333,35.922211270833344,13.646208333333336,60.49224999999999,101.32437500000002,19.531604166666664,0.0,3.0991762499999984,-0.869354375,2.361166666666666,115.34419392699549,1.100982117795981,0.7088086697250503,1.0
20160910,-0.2100385714285707,-2.6470452380952443,129.52418333333333,0.1443005714285715,0.437338375,258.2623299791666,112.92023958333333,574.6867706874998,36.04604135416667,10.937368645833333,58.588333333333324,101.39416666666666,18.959541666666667,0.0,19.626604166666674,19.50109375,19.427218750000005,19.60589583333334,19.85183333333333,1.6377002083333334,-0.8927078947368419,9.519177479166666,10.432291833333332,8.38966875,8.662847691666668,258.8620813125,2.9891333958333326,0.91310375,-11.824872916666665,117.40216041666666,-0.234237,259.47914583333335,334.6538750000002,112.92023958333333,574.6867706874998,36.04604135416667,13.535791666666675,58.588333333333324,101.39416666666666,18.959541666666667,0.0,1.6377002083333334,-0.8871447916666663,2.9892083333333326,116.46985718086776,0.9514806830075494,1.041593167849308,1.0
20160911,0.3244291666666663,10.035356250000003,100.8353125,1.516427083333333,0.6205266874999998,256.68252554166673,107.22114791666664,571.519253,36.98158906250001,6.810744833333334,66.78452083333336,101.36104166666664,16.08779166666667,0.0,18.323927083333334,18.452510416666666,18.777385416666668,19.370572916666664,19.839,-2.0637855208333327,-0.9097759523809528,9.186893604166666,9.511325479166667,8.131997708333332,8.099992483333333,260.21867195833335,4.354939166666667,0.3244291666666663,10.035356250000003,100.8353125,1.516427083333333,257.71206249999994,326.90275000000014,107.22114791666664,571.519253,36.98158906250001,11.675874999999998,66.78452083333336,101.36104166666664,16.08779166666667,0.0,-2.0637855208333327,-0.9058612500000002,4.354895833333334,100.8353125,0.3244291666666663,1.516427083333333,1.0
20160912,-0.04518975555555566,16.330101333333328,99.78838666666664,2.8629326888888893,0.5649656458333335,268.660289125,100.97570625000002,589.248828125,38.308261145833335,6.304661604166667,67.5515833333333,100.93854166666668,15.239062499999998,0.0,17.257625,17.502916666666668,18.011552083333335,18.853197916666666,19.613979166666667,-3.637208749999999,-0.899370512820513,8.723798520833332,9.2073051875,8.271779791666669,8.014431272916667,255.4778239166667,3.971127020833333,0.4834887708333331,10.946074166666662,95.0488208333333,2.5172056458333336,269.9641458333333,306.1854375000002,100.97570625000002,589.248828125,38.308261145833335,8.396604166666664,67.5515833333333,100.93854166666668,15.239062499999998,0.0,-3.637208749999999,-0.8980250000000001,3.9711666666666656,94.44647359736861,0.4790841761340681,3.133830499920334,1.0
20160913,7.621757142857143,-54.2035,19.034105,-2.5551653571428568,0.2533722916666667,252.20497452083333,112.29568208333336,565.3950405625002,35.33408054166667,7.754732999999999,64.89477083333334,101.1775,15.647256250000005,0.0,17.29585416666667,17.418625,17.70844791666667,18.39978125,19.285416666666666,-1.0087895833333325,-0.8993616666666666,8.586435166666666,9.3008599375,7.631853833333333,7.9832950500000015,186.08391910416668,1.6569607708333332,0.7143464583333333,10.807808333333329,88.16552854166666,1.6971488541666666,253.58020833333333,314.1644999999998,112.29568208333336,565.3950405625002,35.33408054166667,8.711645833333332,64.89477083333334,101.1775,15.64725,0.0,-1.0087895833333325,-0.8985608333333336,1.656979166666667,80.07032600879614,1.1250707644316496,4.787282890432986,1.0
20160914,-1.4184300000000003,31.038764705882357,131.860715625,4.606014117647057,0.236148375,256.6212159583334,120.35733750000007,570.6587198125002,35.86373691666668,9.639677104166664,62.33510416666666,101.64458333333334,17.56893333333333,0.0,17.872486458333334,17.886927083333326,17.991458333333334,18.445593750000004,19.112729166666657,-0.11030520833333546,-0.89936775,8.044666583333333,9.855663479166667,7.4212480208333345,8.151670512499999,249.18469493749996,1.5842343333333335,1.8109779166666664,0.18489583333332715,97.04614166666666,2.5426287499999995,257.96656249999995,316.5278750000003,120.35733750000007,570.6587198125002,35.86373691666668,10.581395833333335,62.33510416666666,101.64458333333334,17.568916666666667,0.0,-0.11030520833333546,-0.8985070833333334,1.5842291666666668,95.11457556114824,1.8956729166369333,5.702825184492217,1.0
20160915,1.1282645238095232,-4.368704047619047,121.36175714285709,-0.3199292857142855,0.29230229166666666,256.4782313125,115.20543750000002,568.5138230833334,36.371778479166665,12.636634749999995,53.72104166666668,101.44500000000004,19.354666666666667,0.0,19.050427083333336,18.863187500000006,18.66882291666666,18.76728125,19.127708333333327,2.6997587499999987,-0.8993626829268292,8.339284104166667,10.3666886875,7.136026437499999,8.290996908333332,264.613445875,1.9698942083333335,2.0274272916666667,-13.076845208333333,109.3491208333333,-0.6794152083333332,257.90960416666667,317.08731250000017,115.20543750000002,568.5138230833334,36.371778479166665,11.742958333333327,53.72104166666668,101.44500000000004,19.354666666666667,0.0,2.6997587499999987,-0.8987304166666665,1.9699791666666664,108.1181522600382,2.0612542056089165,0.7695461693038393,1.0
20160916,-4.051810400000001,57.620656000000004,160.83825199999995,1.7901472400000005,0.2098339791666667,251.49141162499996,116.05741666666668,558.7439124375,35.85378160416668,12.231143062499996,58.15595833333336,101.24354166666666,19.1212,0.0,18.99377083333334,18.88877083333333,18.794427083333336,18.94180208333333,19.241604166666665,1.6215770833333336,-0.8993584090909088,8.191807378958334,10.278996520833333,7.007281562500001,8.259950510416667,265.87684875,1.4637236041666668,2.0872049999999995,-9.698325,100.87669375000004,-0.6315962291666668,252.970625,322.75000000000006,116.05741666666668,558.7439124375,35.85378160416668,13.08175,58.15595833333336,101.24354166666666,19.121208333333332,0.0,1.6215770833333336,-0.8992010416666667,1.4637916666666666,96.6791707839321,2.206143126460534,4.734307735445562,1.0
20160917,-5.817649375,55.13255,153.16662000000005,2.9337805,0.13099902083333334,251.990178625,123.35309166666669,562.0250674791665,35.95993564583333,14.330806895833335,57.542166666666695,101.28895833333335,20.2479875,0.0,18.735731250000004,18.75225,18.785406250000005,18.994010416666672,19.308333333333334,-0.44622916666666895,-0.8993629268292683,8.595383793749997,10.5685498125,6.930858166666664,8.262952474999999,219.46239029166665,0.8565219375000003,1.9731804166666669,-11.706375,106.40686249999996,0.04178145833333325,253.61143749999997,324.55275,123.35309166666669,562.0250674791665,35.95993564583333,15.382791666666662,57.542166666666695,101.28895833333335,20.247979166666664,0.0,-0.44622916666666895,-0.8994197916666667,0.8565208333333335,99.23639106965412,2.093991638330837,6.1543165553316905,1.0
20160918,-7.103942857142857,107.676,228.48571428571427,5.177957142857143,0.09851647916666663,247.0388179583333,130.02449791666666,554.5612008333334,35.62176822916667,15.260749374999998,59.27593750000002,101.19895833333337,21.11097708333333,0.0,18.968677083333336,18.945416666666667,18.905427083333333,19.063697916666666,19.366083333333336,1.0543083333333323,-0.8993599999999995,8.88174606875,10.7731814375,6.719956452083332,8.138027210416665,157.71828312500003,0.6176800208333334,1.89139875,-14.692520833333333,108.46471041666665,-1.21484125,248.3955208333333,337.40693749999974,130.02449791666666,554.5612008333334,35.62176822916667,19.274604166666666,59.27593750000002,101.19895833333337,21.110979166666667,0.0,1.0543083333333323,-0.8993922916666666,0.617625,102.01603789413493,2.511428475073838,8.585809889799716,1.0
20160919,-2.8054500000000004,20.259428571428565,133.40571428571428,-6.325114285714285,0.11326216666666668,220.0070577708333,106.11979166666669,474.03417258333343,30.712779791666666,15.318216541666665,59.380125,101.10812499999996,21.877058333333334,0.0,19.474135416666666,19.397739583333333,19.264229166666667,19.292010416666667,19.478500000000004,2.0511812500000004,-0.8993623255813953,8.571367391666664,10.954949708333332,6.149617375000003,8.135684212500001,188.32252162500004,0.7525165,2.3836145833333333,-29.487469375,103.578325,-0.90076625,221.29964583333333,346.86706250000015,106.11979166666669,474.03417258333343,30.712779791666666,19.784145833333326,59.380125,101.10812499999996,21.877062500000008,0.0,2.0511812500000004,-0.8993627083333334,0.7525416666666667,90.63390138374727,2.7414631923176125,6.890115717504945,1.0
20160920,0.20100624999999994,-2.1437818181818216,152.45433333333338,16.38916878787878,0.30073285416666656,241.839710875,110.65805833333332,539.4920107500002,35.5702224375,16.910920583333333,43.51314583333332,101.12541666666664,21.67879166666667,0.0,19.540708333333345,19.409333333333336,19.309927083333328,19.471458333333327,19.651333333333326,1.7534368749999996,-0.8993624999999998,8.060365270833334,10.871154541666666,6.5989846875,8.233313877083335,242.6189353958334,1.9022876041666663,2.8107479166666662,-25.937975,116.89783333333338,11.786869291666665,243.25843750000004,337.27024999999986,110.65805833333332,539.4920107500002,35.5702224375,13.608020833333333,43.51314583333332,101.12541666666664,21.67879166666667,0.0,1.7534368749999996,-0.8993627083333332,1.9023333333333337,110.85072146282415,2.7640791583633493,13.972785420896974,1.0
20160921,0.2349571052631585,-18.059144999999994,122.48297499999997,2.7932994594594596,0.4927989791666667,211.05106295833332,80.44578395833328,466.19512791666665,31.579901270833336,12.554775687500005,44.36504166666666,101.05354166666662,18.55539583333333,0.2,18.35995833333333,18.431291666666674,18.677791666666668,19.2221875,19.671333333333337,-1.7518958333333334,-0.8993727272727273,7.674917437499999,9.935088395833334,5.778943145833333,7.6933838375000025,240.47780197916663,3.3242965833333336,2.260161875000001,-29.93037083333333,110.69191666666669,7.67657458333333,212.3645625,317.12168749999984,80.44578395833328,466.19512791666665,31.579901270833336,11.420124999999995,44.36504166666666,101.05354166666662,18.55539583333333,0.2,-1.7518958333333334,-0.8988945833333332,3.3242708333333346,106.02015226928529,2.0782782693673303,4.183218043541887,1.0
20160922,1.0205809523809528,7.2350499999999975,98.75578571428572,-2.0111666666666665,0.4417007916666667,243.82453233333342,95.86522916666668,539.6431196041666,35.26567100000001,9.664772770833332,54.46281249999999,101.43437500000003,16.063541666666662,0.0,17.533281250000005,17.657520833333333,17.968968750000005,18.660916666666672,19.4466875,-1.802033958333332,-0.8993774999999998,7.3609589229166685,9.276657020833337,6.210136499999997,6.6887622250000005,264.05409733333335,2.9823796041666677,1.9157187500000008,-3.83562291666667,89.7806666666667,-2.264272916666666,245.28195833333336,298.7835,95.86522916666668,539.6431196041666,35.26567100000001,10.557104166666667,54.46281249999999,101.43437500000003,16.063541666666662,0.0,-1.802033958333332,-0.8993774999999998,2.982354166666666,89.46861929191392,1.9477373767897757,-0.5775108235103478,1.0
20160923,-2.767172192307692,51.819673076923095,152.53776923076924,2.7351073076923083,0.28272395833333325,236.6701530208333,102.3685625,534.0395933958332,35.14124579166667,12.13834335416667,52.51212499999999,101.7679166666667,17.89962083333334,0.0,17.796406250000004,17.809187499999997,17.914906249999994,18.422416666666663,19.2316875,0.38960645833333335,-0.8993808333333334,7.540759062500001,9.791176979166666,5.6380298333333325,6.187936450000001,285.2792111875001,1.9908807500000003,2.2504129791666667,-10.684385416666666,97.40627083333334,0.22476166666666675,238.16047916666665,311.620875,102.3685625,534.0395933958332,35.14124579166667,14.393833333333335,52.51212499999999,101.7679166666667,17.899625000000004,0.0,0.38960645833333335,-0.8993808333333334,1.9908541666666668,93.88660038948868,2.3463381276242523,6.07868510770949,1.0
